DescriptorUI	DescriptorName
D065150	Cellular Reprogramming
D000067	Metacognition
D012647	Self-Assessment
D000067	Prescription Drug Overuse
D000067	Near Miss, Healthcare
D000067	RNAi Therapeutics
D005786	Gene Expression Regulation
D000067	Dynamic Light Scattering
D000067	Time Out, Healthcare
D000067	Healthcare Failure Mode and Effect Analysis
D000067	Spirit Possession
D010268	Parapsychology
D013483	Superstitions
D000067	Crew Resource Management, Healthcare
D000067	Computer Heuristics
D000066	Heuristics
D000067	Ataxins
D020754	Spinocerebellar Ataxias
D000067	Alarmins
D000067	Dermal Fillers
D000279	Administration, Cutaneous
D003357	Cosmetic Techniques
D007279	Injections, Subcutaneous
D000067	Action Spectrum
D000067	Diplomacy
D000067	Mutation Accumulation
D000375	Aging
D016296	Mutagenesis
D000067	Internal Ribosome Entry Sites
D000067	Biological Mimicry
D032701	Biomimetics
D000067	Specific Learning Disorder
D000067	Potentially Inappropriate Medication List
D000069	Deprescriptions
D057970	Inappropriate Prescribing
D000067	Late Onset Disorders
D000067	Phakopsora pachyrhizi
D000067	Farmers
D000067	Culturally Appropriate Technology
D004059	Diffusion of Innovation
D000067	Social Learning
D012951	Socialization
D000067	Financial Statements
D005376	Financial Management
D000067	Miners
D000067	Chronopharmacokinetics
D055870	Drug Chronotherapy
D000067	Administrative Claims, Healthcare
D000067	Child Health
D002662	Child Health Services
D002669	Child Welfare
D000067	Interleukin-33
D000067	S100A12 Protein
D000067	Telopodes
D000067	Drosophila simulans
D000067	Optimism
D000067	Pessimism
D000067	Ataxin-1
D020754	Spinocerebellar Ataxias
D000067	Adolescent Health
D000295	Adolescent Medicine
D016497	Adolescent Health Services
D000067	Ataxin-2
D020754	Spinocerebellar Ataxias
D000067	Ataxin-3
D020754	Spinocerebellar Ataxias
D000067	Point-of-Care Testing
D000067	Ataxin-7
D020754	Spinocerebellar Ataxias
D000067	Ataxin-10
D000067	Glucagon-Like Peptide Receptors
D000067	Glucagon-Like Peptide-1 Receptor
D000067	Glucagon-Like Peptide-2 Receptor
D000067	Receptor for Advanced Glycation End Products
D062107	Advanced Oxidation Protein Products
D000067	RNA Recognition Motif Proteins
D000071	RNA Recognition Motif
D000067	ELAV-Like Protein 2
D000067	ELAV-Like Protein 3
D000067	ELAV-Like Protein 4
D000067	ELAV-Like Protein 1
D000067	Whey
D000067	Whey Proteins
D000067	Hoarding Disorder
D000067	Poly(ADP-ribose) Polymerase Inhibitors
D000067	Autism Spectrum Disorder
D000067	CELF Proteins
D000067	CELF1 Protein
D000067	Industrial Development
D000067	Cloud Computing
D013672	Technology
D000067	Natural Resources
D003247	Conservation of Natural Resources
D000067	Glycemic Load
D000067	Adenylyl Cyclase Inhibitors
D000067	RAW 264.7 Cells
D000068	Accreditation
D002568	Certification
D008004	Licensure
D000068	Clostridiales
D000068	Graphic Novel
D000068	South Sudan
D000068	Motor Disorders
D000068	Maternal Health
D008427	Maternal Health Services
D008429	Maternal Welfare
D000068	Seed Bank
D000068	Trauma and Stressor Related Disorders
D000068	Maternal-Child Health Services
D000068	Serine-Arginine Splicing Factors
D000068	Infant Health
D007229	Infant Welfare
D000068	Bipolar and Related Disorders
D000068	Gender Dysphoria
D000068	Formative Feedback
D000068	Aripiprazole
D000928	Antidepressive Agents
D014150	Antipsychotic Agents
D018491	Dopamine Agonists
D058825	Serotonin 5-HT1 Receptor Agonists
D058830	Serotonin 5-HT2 Receptor Antagonists
D065127	Dopamine D2 Receptor Antagonists
D000068	Prunus dulcis
D000068	Albumin-Bound Paclitaxel
D000970	Antineoplastic Agents
D000068	Child Protective Services
D012947	Social Work
D000068	Social Workers
D000068	Prunus africana
D000068	Prunus armeniaca
D000068	Prunus avium
D000068	Refugium
D000068	Distance Counseling
D000068	Lubiprostone
D065101	Chloride Channel Agonists
D000068	Prunus persica
D000068	Data Anonymization
D000068	Personally Identifiable Information
D000068	Personally Identifiable Information
D000068	Data Anonymization
D000068	Prunus domestica
D000068	Darbepoetin alfa
D006397	Hematinics
D000068	Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D023241	Antiretroviral Therapy, Highly Active
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000068	Bevacizumab
D040262	Receptors, Vascular Endothelial Growth Factor
D000074	Antineoplastic Agents, Immunological
D020533	Angiogenesis Inhibitors
D000068	Giraffes
D000068	Risedronic Acid
D002121	Calcium Channel Blockers
D050071	Bone Density Conservation Agents
D000068	Fluticasone-Salmeterol Drug Combination
D001993	Bronchodilator Agents
D005938	Glucocorticoids
D013566	Sympathomimetics
D000068	Fluticasone
D000893	Anti-Inflammatory Agents
D001993	Bronchodilator Agents
D003879	Dermatologic Agents
D018926	Anti-Allergic Agents
D000068	Salmeterol Xinafoate
D001993	Bronchodilator Agents
D058666	Adrenergic beta-2 Receptor Agonists
D000068	Parks, Recreational
D000068	Warfare and Armed Conflicts
D000068	Armed Conflicts
D000068	Everolimus
D000970	Antineoplastic Agents
D007166	Immunosuppressive Agents
D000068	Aspirin, Dipyridamole Drug Combination
D010975	Platelet Aggregation Inhibitors
D000068	Self-Control
D013695	Temperance
D000068	Saline Waters
D006982	Hypertonic Solutions
D000068	Compassion Fatigue
D002055	Burnout, Professional
D013313	Stress Disorders, Post-Traumatic
D000068	Plantaginaceae
D000068	Lamiales
D000068	Clinical Study
D000068	Surgical Clearance
D010808	Physical Examination
D000068	Pemetrexed
D000970	Antineoplastic Agents
D004791	Enzyme Inhibitors
D005493	Folic Acid Antagonists
D019384	Nucleic Acid Synthesis Inhibitors
D000068	Brimonidine Tartrate
D000959	Antihypertensive Agents
D058647	Adrenergic alpha-2 Receptor Agonists
D000068	Clinical Studies as Topic
D000068	Beijing
D000068	African Union
D000068	Firmicutes
D000068	Dutasteride
D058891	5-alpha Reductase Inhibitors
D000068	Calceolariaceae
D000068	Interferon beta-1a
D000276	Adjuvants, Immunologic
D000970	Antineoplastic Agents
D000998	Antiviral Agents
D000068	Olmesartan Medoxomil
D000959	Antihypertensive Agents
D047228	Angiotensin II Type 1 Receptor Blockers
D000068	Amlodipine Besylate, Olmesartan Medoxomil Drug Combination
D000959	Antihypertensive Agents
D002121	Calcium Channel Blockers
D047228	Angiotensin II Type 1 Receptor Blockers
D000068	Interferon beta-1b
D000276	Adjuvants, Immunologic
D000068	Nebivolol
D000959	Antihypertensive Agents
D014665	Vasodilator Agents
D058665	Adrenergic beta-1 Receptor Agonists
D000068	Celecoxib
D000894	Anti-Inflammatory Agents, Non-Steroidal
D052246	Cyclooxygenase 2 Inhibitors
D000068	Varenicline
D000077	Smoking Cessation Agents
D018722	Nicotinic Agonists
D000068	Tadalafil
D000068	Sildenafil Citrate
D014665	Vasodilator Agents
D058986	Phosphodiesterase 5 Inhibitors
D064804	Urological Agents
D000068	Certolizumab Pegol
D014409	Tumor Necrosis Factor-alpha
D007166	Immunosuppressive Agents
D018501	Antirheumatic Agents
D000068	Censorship, Research
D000068	Dual Use Research
D004989	Ethics
D000068	Data Accuracy
D000068	Brimonidine Tartrate, Timolol Maleate Drug Combination
D000319	Adrenergic beta-Antagonists
D058647	Adrenergic alpha-2 Receptor Agonists
D000068	Albuterol, Ipratropium Drug Combination
D000068	Dual Use Research
D000068	Censorship, Research
D000068	Professionalism
D004992	Ethics, Medical
D011361	Professional Competence
D000068	Genetic Background
D040941	Heredity
D000068	Selective Breeding
D005053	Eugenics
D012099	Reproductive Techniques
D000068	Legendary Creatures
D000068	Mometasone Furoate
D000068	Formoterol Fumarate
D000893	Anti-Inflammatory Agents
D003879	Dermatologic Agents
D018926	Anti-Allergic Agents
D000068	Fallopia multiflora
D000068	Sildenafil Citrate
D000068	Tadalafil
D014665	Vasodilator Agents
D058986	Phosphodiesterase 5 Inhibitors
D064804	Urological Agents
D000068	Emtricitabine, Rilpivirine, Tenofovir Drug Combination
D000998	Antiviral Agents
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000068	Emtricitabine
D000998	Antiviral Agents
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000068	Rilpivirine
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000068	Tenofovir
D000998	Antiviral Agents
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000068	Glatiramer Acetate
D000276	Adjuvants, Immunologic
D007166	Immunosuppressive Agents
D018501	Antirheumatic Agents
D000068	Rosuvastatin Calcium
D019821	Simvastatin
D000924	Anticholesteremic Agents
D019161	Hydroxymethylglutaryl-CoA Reductase Inhibitors
D000068	Duloxetine Hydrochloride
D000068	Serotonin and Noradrenaline Reuptake Inhibitors
D000700	Analgesics
D000928	Antidepressive Agents
D015259	Dopamine Agents
D000068	Tolterodine Tartrate
D018727	Muscarinic Antagonists
D064804	Urological Agents
D000068	Valsartan
D019808	Losartan
D000959	Antihypertensive Agents
D047228	Angiotensin II Type 1 Receptor Blockers
D000068	Ononis
D000068	Mometasone Furoate, Formoterol Fumarate Drug Combination
D001993	Bronchodilator Agents
D000068	Formoterol Fumarate
D000068	Mometasone Furoate
D000420	Albuterol
D001993	Bronchodilator Agents
D058666	Adrenergic beta-2 Receptor Agonists
D000068	Serotonin and Noradrenaline Reuptake Inhibitors
D000068	Sleep Aids, Pharmaceutical
D000068	Orexin Receptor Antagonists
D000068	Orexins
D064446	Orexin Receptors
D000068	Hoodia
D000068	Prasugrel Hydrochloride
D010975	Platelet Aggregation Inhibitors
D000068	Etanercept
D000894	Anti-Inflammatory Agents, Non-Steroidal
D005765	Gastrointestinal Agents
D007166	Immunosuppressive Agents
D018501	Antirheumatic Agents
D000068	Adapalene, Benzoyl Peroxide Drug Combination
D000894	Anti-Inflammatory Agents, Non-Steroidal
D003879	Dermatologic Agents
D000068	Adapalene
D000894	Anti-Inflammatory Agents, Non-Steroidal
D003879	Dermatologic Agents
D000068	Epoetin Alfa
D006397	Hematinics
D000068	Cetuximab
D066246	ErbB Receptors
D000074	Antineoplastic Agents, Immunological
D000068	Hyssopus Plant
D000068	Rivastigmine
D002800	Cholinesterase Inhibitors
D018696	Neuroprotective Agents
D000068	Parmeliaceae
D000068	Amlodipine, Valsartan Drug Combination
D000959	Antihypertensive Agents
D000068	Eugenia
D000068	Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18
D000068	Kombucha Tea
D000068	Fingolimod Hydrochloride
D000081	Sphingosine 1 Phosphate Receptor Modulators
D007166	Immunosuppressive Agents
D000068	Imatinib Mesylate
D000970	Antineoplastic Agents
D047428	Protein Kinase Inhibitors
D000068	Trastuzumab
D018719	Receptor, ErbB-2
D000074	Antineoplastic Agents, Immunological
D000068	Adalimumab
D014409	Tumor Necrosis Factor-alpha
D000893	Anti-Inflammatory Agents
D018501	Antirheumatic Agents
D000068	Isophane Insulin, Human
D007004	Hypoglycemic Agents
D000068	Animals, Exotic
D000068	Paliperidone Palmitate
D014150	Antipsychotic Agents
D058830	Serotonin 5-HT2 Receptor Antagonists
D065127	Dopamine D2 Receptor Antagonists
D000068	Immunosenescence
D000068	Canagliflozin
D000077	Sodium-Glucose Transporter 2 Inhibitors
D000068	Iridescence
D000068	Raltegravir Potassium
D019380	Anti-HIV Agents
D019428	HIV Integrase Inhibitors
D000068	Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination
D000068	Sitagliptin Phosphate
D000069	Linagliptin
D007004	Hypoglycemic Agents
D054795	Incretins
D054873	Dipeptidyl-Peptidase IV Inhibitors
D000068	Spatial Regression
D000068	Theranostic Nanomedicine
D000068	Cosmeceuticals
D003358	Cosmetics
D000068	Prisoner Dilemma
D000068	Games, Recreational
D018910	Video Games
D000068	Return to Sport
D000068	Body Weight Maintenance
D000068	Concierge Medicine
D000068	Smartphone
D034201	Computers, Handheld
D000068	Humidifiers
D012121	Respiration, Artificial
D000069	Acculturation
D000069	Insulin Glargine
D007004	Hypoglycemic Agents
D000069	Lurasidone Hydrochloride
D014150	Antipsychotic Agents
D058669	Adrenergic alpha-2 Receptor Antagonists
D058830	Serotonin 5-HT2 Receptor Antagonists
D065127	Dopamine D2 Receptor Antagonists
D000069	Insulin Detemir
D007004	Hypoglycemic Agents
D000069	Vardenafil Dihydrochloride
D014665	Vasodilator Agents
D058986	Phosphodiesterase 5 Inhibitors
D064804	Urological Agents
D000069	Atorvastatin
D000924	Anticholesteremic Agents
D019161	Hydroxymethylglutaryl-CoA Reductase Inhibitors
D000069	Fractures, Multiple
D000069	Memory Consolidation
D007858	Learning
D000069	Seroconversion
D055633	Immune System Phenomena
D000069	Radiation Exposure
D004785	Environmental Pollutants
D000069	Health Smart Cards
D000069	Type I Secretion Systems
D000069	Type II Secretion Systems
D000069	Gastrointestinal Microbiome
D000069	Contraceptive Prevalence Surveys
D000069	Pericardial Fluid
D000069	Arthrocentesis
D000069	Thoracentesis
D010996	Pleural Effusion
D011030	Pneumothorax
D000069	Superficial Musculoaponeurotic System
D015361	Rhytidoplasty
D000069	Podosomes
D040542	Mechanotransduction, Cellular
D000069	Plantar Plate
D000069	Fallopia
D000069	Arterial Switch Operation
D014188	Transposition of Great Vessels
D000069	Drug Resistant Epilepsy
D000069	Electrocorticography
D000069	Autoimmune Hypophysitis
D000069	Canaliculitis
D003320	Corneal Ulcer
D000069	Rituximab
D018951	Antigens, CD20
D000074	Antineoplastic Agents, Immunological
D007155	Immunologic Factors
D018501	Antirheumatic Agents
D000069	Protein Translocation Systems
D026901	Membrane Transport Proteins
D000069	Infliximab
D014409	Tumor Necrosis Factor-alpha
D003879	Dermatologic Agents
D005765	Gastrointestinal Agents
D018501	Antirheumatic Agents
D000069	Bortezomib
D000970	Antineoplastic Agents
D000069	Capecitabine
D000964	Antimetabolites, Antineoplastic
D000069	Parasite Encystment
D053058	Trophozoites
D000069	Incisional Hernia
D000069	Pyroptosis
D009336	Necrosis
D000069	Plasmablastic Lymphoma
D000069	Twin-Arginine-Translocation System
D000069	Mammary Analogue Secretory Carcinoma
D000069	Type III Secretion Systems
D000069	Acne Conglobata
D000069	Type IV Secretion Systems
D000069	Type V Secretion Systems
D000069	Mitochondrial Replacement Therapy
D000069	Self Expandable Metallic Stents
D000069	Neurovascular Coupling
D006439	Hemodynamics
D000069	Fused Kidney
D000069	Neuropathology
D000069	Trachelectomy
D000069	Deprescriptions
D000067	Potentially Inappropriate Medication List
D057970	Inappropriate Prescribing
D000069	Transitional Care
D000069	Medical Overuse
D003951	Diagnostic Errors
D019338	Polypharmacy
D057970	Inappropriate Prescribing
D062787	Drug Overdose
D000069	Bone-Implant Interface
D016348	Osseointegration
D000069	Erlotinib Hydrochloride
D000970	Antineoplastic Agents
D047428	Protein Kinase Inhibitors
D000069	Quetiapine Fumarate
D000928	Antidepressive Agents
D014150	Antipsychotic Agents
D000069	Linezolid
D000900	Anti-Bacterial Agents
D011500	Protein Synthesis Inhibitors
D000069	Telerehabilitation
D000069	Tympanocentesis
D008876	Middle Ear Ventilation
D010033	Otitis Media
D000069	Type VI Secretion Systems
D000069	Type VII Secretion Systems
D000069	Mitochondrial Ribosomes
D000069	Intravital Microscopy
D000069	Toxicological Phenomena
D000069	Pharmacological Phenomena
D000069	Ezetimibe
D000924	Anticholesteremic Agents
D000069	Dasatinib
D000970	Antineoplastic Agents
D047428	Protein Kinase Inhibitors
D000069	Natalizumab
D039441	Integrin alpha4
D007155	Immunologic Factors
D000069	Heptavalent Pneumococcal Conjugate Vaccine
D007155	Immunologic Factors
D000069	Omalizumab
D018926	Anti-Allergic Agents
D018927	Anti-Asthmatic Agents
D000069	Atomoxetine Hydrochloride
D018759	Adrenergic Uptake Inhibitors
D000069	Atazanavir Sulfate
D017320	HIV Protease Inhibitors
D000069	Tiotropium Bromide
D001993	Bronchodilator Agents
D010276	Parasympatholytics
D018680	Cholinergic Antagonists
D000069	Denosumab
D053245	RANK Ligand
D050071	Bone Density Conservation Agents
D000069	Cinacalcet
D000077	Calcium-Regulating Hormones and Agents
D057966	Calcimimetic Agents
D000069	Liraglutide
D007004	Hypoglycemic Agents
D054795	Incretins
D000069	Long Term Adverse Effects
D000069	Pathogen-Associated Molecular Pattern Molecules
D000069	Ultrasonic Waves
D000069	Ultrasonic Waves
D014464	Ultrasonic Therapy
D014465	Ultrasonics
D000069	Darunavir
D017320	HIV Protease Inhibitors
D000069	Palivizumab
D000998	Antiviral Agents
D000069	Silent Mutation
D000069	Population Forecast
D011158	Population Growth
D000069	Ranolazine
D002317	Cardiovascular Agents
D026941	Sodium Channel Blockers
D000069	Teas, Herbal
D000069	Teas, Medicinal
D000069	Bendamustine Hydrochloride
D018906	Antineoplastic Agents, Alkylating
D000069	Dimethyl Fumarate
D003879	Dermatologic Agents
D007166	Immunosuppressive Agents
D011838	Radiation-Sensitizing Agents
D000069	Olive Oil
D000069	Solifenacin Succinate
D018727	Muscarinic Antagonists
D064804	Urological Agents
D000069	Febuxostat
D006074	Gout Suppressants
D000069	Red Meat
D000069	Fecal Microbiota Transplantation
D000069	Desvenlafaxine Succinate
D000068	Serotonin and Noradrenaline Reuptake Inhibitors
D000928	Antidepressive Agents
D000069	Medical-Surgical Nursing
D009871	Operating Room Nursing
D000069	Venlafaxine Hydrochloride
D000068	Serotonin and Noradrenaline Reuptake Inhibitors
D018687	Antidepressive Agents, Second-Generation
D000069	Neurosurgeons
D000069	Colesevelam Hydrochloride
D000924	Anticholesteremic Agents
D000069	Radiation Dose Hypofractionation
D011827	Radiation
D000069	Sofosbuvir
D000998	Antiviral Agents
D000069	Re-Irradiation
D000069	Linagliptin
D000068	Sitagliptin Phosphate
D007004	Hypoglycemic Agents
D054795	Incretins
D054873	Dipeptidyl-Peptidase IV Inhibitors
D000069	Lisdexamfetamine Dimesylate
D000697	Central Nervous System Stimulants
D018765	Dopamine Uptake Inhibitors
D000069	Buprenorphine, Naloxone Drug Combination
D000701	Analgesics, Opioid
D009292	Narcotic Antagonists
D000069	Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D018894	Reverse Transcriptase Inhibitors
D019380	Anti-HIV Agents
D000069	Origin of Life
D000069	Ezetimibe, Simvastatin Drug Combination
D000924	Anticholesteremic Agents
D000069	Abiraterone Acetate
D000970	Antineoplastic Agents
D065088	Steroid Synthesis Inhibitors
D065607	Cytochrome P-450 Enzyme Inhibitors
D000069	Budesonide, Formoterol Fumarate Drug Combination
D018927	Anti-Asthmatic Agents
D000069	Vilazodone Hydrochloride
D000928	Antidepressive Agents
D017367	Serotonin Uptake Inhibitors
D058825	Serotonin 5-HT1 Receptor Agonists
D000069	International Law
D038622	Internationality
D000069	Blog
D000069	Adult Day Care Centers
D064407	Senior Centers
D000069	Infectious Encephalitis
D000069	Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination
D019380	Anti-HIV Agents
D000069	Cobicistat
D019380	Anti-HIV Agents
D065692	Cytochrome P-450 CYP3A Inhibitors
D000069	Ustekinumab
D018664	Interleukin-12
D053759	Interleukin-23
D003879	Dermatologic Agents
D000069	Machine Learning
D000069	Environmental Psychology
D004463	Ecology
D019550	Environmental Medicine
D000069	Rivaroxaban
D065427	Factor Xa Inhibitors
D000069	Supervised Machine Learning
D000069	Unsupervised Machine Learning
D000069	Injection, Intratympanic
D000069	Travoprost
D000959	Antihypertensive Agents
D000069	Unsupervised Machine Learning
D000069	Supervised Machine Learning
D000069	Loteprednol Etabonate
D018926	Anti-Allergic Agents
D000069	Health Equity
D000069	Morcellation
D000069	Waterborne Diseases
D000069	Ranibizumab
D042461	Vascular Endothelial Growth Factor A
D020533	Angiogenesis Inhibitors
D000069	Bimatoprost
D000959	Antihypertensive Agents
D000069	Exposure to Violence
D000069	Eszopiclone
D006993	Hypnotics and Sedatives
D000069	Pregabalin
D000700	Analgesics
D000927	Anticonvulsants
D002121	Calcium Channel Blockers
D014151	Anti-Anxiety Agents
D000069	Unilateral Breast Neoplasms
D000069	Filgrastim
D006401	Hematologic Agents
D000069	Adult Survivors of Child Adverse Events
D000069	Round Ligaments
D000069	Round Ligament of Liver
D000069	Round Ligament of Femur
D000069	Abatacept
D060908	CTLA-4 Antigen
D007166	Immunosuppressive Agents
D018501	Antirheumatic Agents
D000069	Presenteeism
D000069	Crop Production
D000069	Plant Breeding
D000069	Crop Protection
D000069	Working Poor
D011203	Poverty
D011204	Poverty Areas
D000069	Sevelamer
D002614	Chelating Agents
D000069	Dabigatran
D000991	Antithrombins
D000069	Olopatadine Hydrochloride
D000894	Anti-Inflammatory Agents, Non-Steroidal
D018926	Anti-Allergic Agents
D039563	Histamine H1 Antagonists, Non-Sedating
D000069	Simeprevir
D000998	Antiviral Agents
D011480	Protease Inhibitors
D000069	Pedestrians
D000069	Undocumented Immigrants
D000069	Adipose Tissue, Beige
D000069	Adipocytes, Beige
D000069	SEC Translocation Channels
D000069	Degloving Injuries
D000069	Staghorn Calculi
D000069	Struvite
D000069	Struvite
D000069	Staghorn Calculi
D000069	Transcription Activator-Like Effector Nucleases
D000069	Endoscopic Mucosal Resection
D000069	Chocolate
D000069	Bacillus licheniformis
D000069	Bacillus amyloliquefaciens
D000069	Bifidobacterium longum
D000069	Bacillus pumilus
D000069	Lactobacillus paracasei
D000069	Escherichia coli O104
D000069	Bifidobacterium animalis
D000069	Saccharomyces boulardii
D000069	Bifidobacterium breve
D000069	Bifidobacterium bifidum
D000069	Lactobacillus salivarius
D000069	Mastic Resin
D006170	Gum Arabic
