HPO-ID	DATABASE-NAME	EXTERNAL-ID	EXTERNAL-NAME
HP:0000023	UMLS	C0019294	{'inguinal hernia', 'Inguinal hernias', 'Hernia inguinal', 'inguinal hernias', 'HERNIA, INGUINAL', 'LJUMSKBRACK', 'lagyekserv', 'Hernias, Inguinal', 'Hernia, Inguinal', 'beka mifsaati axer', 'Lyskebrok inguinalhernie', 'HERNIA INGINALA', 'Inguinal Hernias', 'Inguinal Hernia', 'Leistenbruch/Inguinalhernie', 'LYSKEBROKK/INGUINAL HERNIE', 'Hernia inguinalis', 'Ernia inguinale', 'Hernie inguinale', 'Inguinal hernia NOS', 'Hernia Inguinal', 'NIVUSTYRA', 'INGUINAL HERNIA', 'Inguinal hernia', 'Inguinal herniae'}
HP:0004299	Fyler	4414	None
HP:0004299	SNOMEDCT_US	128545000	Hernia of abdominal wall
HP:0004299	UMLS	C1442978	{'Hernia of the abdominal wall', 'Herniated abdominal wall', 'Hernia of abdominal wall', 'Abdominal wall hernia'}
HP:0000024	MSH	D011472	Prostatitis
HP:0000024	SNOMEDCT_US	9713002	Prostatitis
HP:0000024	UMLS	C0033581	{'Prostatitis', 'Prostatitides', 'prostatitis', 'Inflammatory diseases of prostate', 'Prostatitis NOS', 'Prostatitis, unspecified', 'prostate inflammation', 'PROSTATITIS', 'Inflammation of the prostate'}
HP:0008775	UMLS	C0747987	{'prostate abnormal', 'abnormalities prostate', 'PROSTATE ABNORMALITY', 'PROSTATIC ABNORMALITY', 'Abnormality of the prostate'}
HP:0012649	UMLS	C4022803	{'Increased inflammatory response'}
HP:0000025	UMLS	C4025898	{'Functional abnormality of male internal genitalia'}
HP:0012874	UMLS	C4020716	{'Abnormal male genital system physiology', 'Abnormal male reproductive system physiology'}
HP:0000026	MSH	D005058	Eunuchism
HP:0000026	SNOMEDCT_US	48723006	Male hypogonadism
HP:0000026	UMLS	C0151721	{'male hypogonadism', 'Eunuchoidism', 'Male hypogonadism', 'eunuchoidism', 'Testicular hypogonadism', 'Decreased function of male gonad', 'Testicular failure', 'EUNUCHOIDISM', 'Hypogonadism, Male', 'Hypogonadotropic eunuchoidism', 'Hypogonadism (in males)', 'Testicular Failure', 'EUNUCHOIDISM, HYPOGONADOTROPIC', 'testicular failure', 'failure testicular', 'hypogonadism males', 'HYPOGONADISM, MALE', 'hypogonadism male', 'HYPOGONADISM MALE', 'Eunuchoidism NOS'}
HP:0000135	MSH	D007006	Hypogonadism
HP:0000135	SNOMEDCT_US	48130008	Hypogonadism
HP:0000135	UMLS	C0020619	{'hypogonadism', 'Hypogonadism', 'HYPOGONADISM', 'Hypogonadotropism', 'Gonadotropin Deficiency', 'hypogonadotropism', 'Decreased activity of gonads'}
HP:0000027	MSH	D053713	Azoospermia
HP:0000027	SNOMEDCT_US	425558002	Azoospermia (disorder)
HP:0000027	SNOMEDCT_US	48188009	Aspermia
HP:0000027	UMLS	C0004509	{'azospermia', 'Azoospermia', 'Azoozpermia', 'Absent sperm in semen', 'AZOSPERMIA', 'azoospermia'}
HP:0008669	SNOMEDCT_US	4529005	Abnormal spermatogenesis
HP:0008669	UMLS	C0520933	{'Abnormal spermatogenesis', 'Impaired spermatogenesis'}
HP:0008669	UMLS	C4020789	{'Abnormal sperm development'}
HP:0000028	Fyler	4493	None
HP:0000028	MSH	D003456	Cryptorchidism
HP:0000028	SNOMEDCT_US	204878001	Undescended testicle
HP:0000028	UMLS	C0010417	{'CRYPTORCHISM', 'Undesc testicle/cryptorchism', 'kriptorxidizem', 'Cryptorchidism', 'RETINERT TESTIS/KRYPTORKISME', 'Testiculo nao descido/criptorq', 'undescended testes', 'testes undescend', 'Undescended Testis', 'undescend testicle', 'Undescended testicles', 'cryptorchismus/nem leszallt here', 'Testicolo ritenuto/criptorchidismo', 'Undescended Testes', 'UNDESCENDED TESTIS', 'Testes, Undescended', 'UNDESCENDED TESTICLE', 'testicle undescended', 'Undescended testes', 'undescended testicle', 'Testis, Undescended', 'cryptorchism', 'undescended testicles', 'CRYPTORCHIDISM', 'undescended testis', 'maldescent of testis', 'Testiculo no desc/criptorquidia', 'Undescended testicle/cryptorchism', 'KIVEKSEN LASKEUTUMATTOMUUS/PIILOKIVEKSISYYS', 'Undescended testis', 'cryptorchidism', 'Cryptorchidism (unilateral or bilateral)', 'Cryptorch/niet ingedaalde testis', 'Cryptorchidism, Unilateral Or Bilateral', 'Testicule ectopique/cryptorchidie', 'Maldescension/Kryptorchismus', 'Undescended Testicle', 'UNDESCENDED TESTES', 'Undescended testicle', 'RETINERAD TESTIKEL/KRYPTORKISM', 'Cryptorchism', 'Retentio testis/kryptorkisme', 'maldescended testis', 'CRYPTORCHIDISM, UNILATERAL OR BILATERAL', 'Cryptorchidism, unilateral or bilateral', 'testicles undescended'}
HP:0000035	SNOMEDCT_US	55631001	Congenital anomaly of testis
HP:0000035	UMLS	C0266423	(131)I-Macroaggregated Albumin
HP:0000029	SNOMEDCT_US	17585008	Atrophy of testis
HP:0000029	UMLS	C0156312	{'testicle atrophy', 'Testis Atrophy of', 'ATROPHY OF TESTICLE', 'Atrophy of testis', 'atrophied testicle', 'atrophied testicles', 'testicular atrophy', 'Testicular atrophy', 'ATROPHY TESTICULAR', 'testis atrophy', 'atrophy of testicle', 'atrophy testicles', 'atrophy testicle', 'atrophic testicle', 'Testicular degeneration', 'TESTICULAR ATROPHY', 'atrophy testis', 'Testicular Atrophy'}
HP:0000030	NCIT	C3754	None
HP:0000030	UMLS	C1515283	{'Testicular Gonadoblastoma', 'Testicular gonadoblastoma', 'Gonadoblastoma, male'}
HP:0000150	MSH	D018238	Gonadoblastoma
HP:0000150	NCIT	C3754	None
HP:0000150	SNOMEDCT_US	74751003	Gonadoblastoma
HP:0000150	UMLS	C0206661	{'Gonadoblastomas', 'GBY', 'gonadoblastomas', 'gonadoblastoma', 'Gonadoblastoma', 'GONADOBLASTOMA'}
HP:0010788	MSH	D013736	Testicular Neoplasms
HP:0010788	NCIT	C3262	None
HP:0010788	SNOMEDCT_US	126900000	Neoplasm of testis
HP:0010788	UMLS	C0039590	{'Neoplasm, Testicular', 'Testicular Neoplasm', 'testis neoplasm', 'testicular tumors', 'Testis Neoplasm', 'Testicular Tumor', 'Tumor of Testis', 'Testicular Tumors', 'Testicular neoplasm', 'Neoplasms, Testis', 'NEOPL TESTICULAR', 'tumor testicular', 'testis tumors', 'testicular tumour', 'NEOPL TESTIS', 'Neoplasm of Testis', 'testicular tumours', 'TESTICULAR NEOPL', 'TESTIS NEOPL', 'testicular tumor', 'Testis Neoplasms', 'Tumor of the Testis', 'Testicular Neoplasms', 'testicular neoplasms', 'testis tumor', 'Testicular neoplasia', 'testicular neoplasm', 'Testicular tumor', 'Neoplasm of the Testis', 'tumor testis', 'Neoplasms, Testicular', 'neoplasms testicular', 'Neoplasm, Testis'}
HP:0000031	MSH	D004823	Epididymitis
HP:0000031	SNOMEDCT_US	31070006	Epididymitis
HP:0000031	UMLS	C0014534	{'EPIDIDYMITIS', 'Epididymitides', 'Epididymitis', 'epididymitis'}
HP:0009714	UMLS	C4024222	{'Abnormality of the epididymis'}
HP:0000032	UMLS	C4025897	{'Abnormality of male external genitalia'}
HP:0000811	UMLS	C4025825	{'Abnormal external genitalia'}
HP:0000033	UMLS	C4021823	{'Ambiguous genitalia, male', 'Ambiguous genitalia in males'}
HP:0000062	MSH	D012734	Disorders of Sex Development
HP:0000062	SNOMEDCT_US	21321009	Ambiguous genitalia
HP:0000062	UMLS	C0266362	{'Genital ambiguity', 'Genital Ambiguities', 'Ambiguous Genitalia', 'Ambiguous external genitalia', 'Atypical Genitalia', 'genitalia ambiguous', 'Intersex genitalia', 'Ambiguous external genitalia at birth', 'Genital Ambiguity', 'Genitalia, Ambiguous', 'Ambiguous genitalia', 'Ambiguities, Genital', 'Ambiguity, Genital', 'ambiguous genitalia', 'GENITALIA EXTERNAL AMBIGUOUS'}
HP:0000034	MSH	D006848	Testicular Hydrocele
HP:0000034	SNOMEDCT_US	26614003	Hydrocele of testis
HP:0000034	SNOMEDCT_US	386152007	Hydrocele (morphologic abnormality)
HP:0000034	SNOMEDCT_US	55434001	Hydrocele
HP:0000034	UMLS	C1720771	{'Scrotal Hydrocele', 'Hydrocele', 'Vaginal Hydroceles', 'Hydrocele NOS', 'Hydrocele, Testicular', 'Hydrocele testis', 'Vaginal Hydrocele', 'Hydrocele, unspecified', 'testicle hydrocele', 'Hydrozele', 'hydrocele testicle', 'Testicular hydrocele', 'Testicular Hydroceles', 'Hydroceles, Testicular', 'HYDROCELE/VATTENBRACK', 'HYDROCELE TESTIS', 'Hidrocelo', 'Hydrocele, Scrotal', 'hydrokele', 'Vaginal hydrocele', 'Hidrocele', 'Hydroceles, Scrotal', 'Scrotal Hydroceles', 'hydrocele testicles', 'Hydroceles, Vaginal', 'HYDROCELE', 'hydrocele testis', 'testis hydrocele', 'Idrocele', 'Hydrocele, Vaginal', 'Hydrokele', 'Testicular Hydrocele', 'hidrotzela'}
HP:0000036	UMLS	C4025896	{'Abnormality of the penis'}
HP:0000037	MSH	D058490	Disorder of Sex Development, 46,XY
HP:0000037	SNOMEDCT_US	111332007	Male pseudohermaphroditism
HP:0000037	UMLS	C0238395	{'Male pseudohermaphroditism', 'Pseudohermaphroditism, Male', 'male pseudohermaphroditism', 'Male Pseudohermaphroditisms', 'Male Pseudohermaphroditism', 'Pseudohermaphroditisms, Male', 'PSEUDOHERMAPHRODITISM, MALE'}
HP:0000039	SNOMEDCT_US	406477003	Epispadias, male (disorder)
HP:0000039	UMLS	C0563449	{'Anaspadias', 'Epispadias', 'Epispadias, male (disorder)'}
HP:0100627	UMLS	C4020961	{'Displacement of the male external urethral orifice', 'Displacement of the urethral meatus', 'Displacement of the external urethral orifice'}
HP:0000040	SNOMEDCT_US	88673001	Hypertrophy of penis
HP:0000040	UMLS	C0269011	{'Enlarged penis', 'Large penis', 'large penis', 'enlarging penis', 'increasing penis size', 'peni enlarg', 'enlarged penis', 'Increased size of penis', 'enlarg penis', 'PENIS, LARGE', 'penis large', 'Long penis'}
HP:0000041	SNOMEDCT_US	4287008	Chordee
HP:0000041	UMLS	C0221182	{'Chordee', 'PENIS, DOWNWARD BOWING', 'CHORDEE', 'chordee'}
HP:0000042	UMLS	C1848869	{'Absent external genitalia'}
HP:0000044	MSH	D007006	Hypogonadism
HP:0000044	SNOMEDCT_US	33927004	Hypogonadotropic hypogonadism
HP:0000044	UMLS	C0271623	{'hypogonadotrophic hypogonadism', 'Hypogonadism, Hypogonadotropic', 'Central Hypogonadism', 'Hypogonadism, hypogonadotropic', 'Hypogonadotrophic hypogonadism', 'Hypogonadotropic Hypogonadism', 'secondary hypogonadism', 'hypogonadotropic hypogonadism', 'Secondary Hypogonadism', 'Hypogonadotropic hypogonadism', 'Low gonadotropins (secondary hypogonadism)'}
HP:0000044	UMLS	C3489396	{'Isolated hypogonadotropic hypogonadism', 'Hypogonadism, Isolated Hypogonadotropic', 'Isolated Hypogonadotropic Hypogonadism', 'HYPOGONADISM, ISOLATED HYPOGONADOTROPIC'}
HP:0000045	UMLS	C4025895	{'Abnormality of the scrotum'}
HP:0000046	SNOMEDCT_US	204912007	Hypoplasia of scrotum
HP:0000046	UMLS	C0431659	{'Smaller than typical growth of scrotum', 'Scrotal hypoplasia', 'Underdeveloped scrotum', 'Hypoplastic scrotum', 'Hypoplasia of scrotum'}
HP:0000050	UMLS	C1852534	{'Hypoplastic male external genitalia', 'Underdeveloped male genitalia', 'Hypoplastic male genitalia', 'Small male external genitalia'}
HP:0000047	Fyler	4504	None
HP:0000047	SNOMEDCT_US	204888000	Hypospadias, penile
HP:0000047	UMLS	C1691215	{'Penile hypospadias', 'penile hypospadias', 'Hypospadias', 'Hypospadias, penile'}
HP:0000048	SNOMEDCT_US	236780002	Bifid scrotum
HP:0000048	UMLS	C0341787	{'Cleft of scrotum', 'Scrotal cleft', 'Bifid scrotum'}
HP:0000049	UMLS	C1858539	{'Overriding scrotum', 'Shawl scrotum', 'Scrotum surrounds penis'}
HP:0003241	UMLS	C1855333	{'Small genitalia', 'Hypogenitalism', 'External genital hypoplasia', 'Underdevelopment of external reproductive organs'}
HP:0000051	SNOMEDCT_US	204890004	Hypospadias, perineal
HP:0000051	UMLS	C0452148	{'Hypospadias, perineal', 'Perineal hypospadias'}
HP:0000052	UMLS	C4025894	{'Urethral atresia, male'}
HP:0000068	UMLS	C1610065	{'Urethral opening absent', 'Urethral atresia', 'Absent urethral opening'}
HP:0000053	UMLS	C1263023	{'Large testes', 'Large testicles', 'MACROORCHIDISM', 'Macroorchidism', 'Large testis'}
HP:0045058	UMLS	C4073180	{'Abnormality of the testis size'}
HP:0000054	SNOMEDCT_US	34911001	Congenital hypoplasia of penis
HP:0000054	UMLS	C0266435	{'Congenital hypoplasia of penis', 'Hypoplasia of penis', 'Underdeveloped penis'}
HP:0008736	SNOMEDCT_US	34911001	Congenital hypoplasia of penis
HP:0008736	UMLS	C0266435	{'Congenital hypoplasia of penis', 'Hypoplasia of penis', 'Underdeveloped penis'}
HP:0000055	UMLS	C4021822	{'Abnormality of female external genitalia', 'Abnormal female external genitalia'}
HP:0000056	UMLS	C4025893	{'Abnormality of the clitoris', 'Abnormality of the clit'}
HP:0000058	UMLS	C4025892	{'Abnormality of the labia'}
HP:0000059	SNOMEDCT_US	289469003	Small labia majora
HP:0000059	UMLS	C0566899	{'Small labia majora', 'Hypoplasia of the labia majora', 'Hypoplasia of labia majora', 'Hypoplastic labia majora', 'Underdeveloped vaginal lips'}
HP:0000066	UMLS	C1850325	{'Underdeveloped labia', 'Hypoplastic labia', 'Labial hypoplasia'}
HP:0012881	UMLS	C4022695	{'Abnormality of vaginal lips', 'Abnormality of the labia majora'}
HP:0000060	UMLS	C1844527	{'Small clitoris', 'Underdeveloped clit', 'Hypoplastic clitoris', 'Clitoral hypoplasia'}
HP:0012815	UMLS	C4022715	{'Underdeveloped female external genitalia', 'Hypoplastic female external genitalia'}
HP:0040255	UMLS	C4280693	{'Aplasia/Hypoplasia of the clitoris'}
HP:0000061	UMLS	C1859980	{'Ambiguous genitalia due to virilization'}
HP:0000061	UMLS	C4025891	{'Atypical appearance of female genitals', 'Ambiguous genitalia, female'}
HP:0000063	UMLS	C1837532	{'Fused labia minora', 'Fused inner lips'}
HP:0012880	UMLS	C4022696	{'Abnormality of the labia minora', 'Abnormality of the inner vaginal lips'}
HP:0000064	UMLS	C1849295	{'Hypoplastic labia minora', 'Underdeveloped inner lips'}
HP:0000065	SNOMEDCT_US	16924008	Hypertrophy of vulva
HP:0000065	UMLS	C0404531	{'Hypertrophy of labia', 'Hypertrophy of the labia', 'enlarged labia', 'Enlargement of the labia', 'Labial hypertrophy', 'LABIA ENLARGED', 'Enlargement of the vaginal lips', 'labia enlarged'}
HP:0000067	UMLS	C4025890	{'Urethral atresia, female'}
HP:0000795	UMLS	C4025826	{'Abnormality of the urethra', 'Urethra issue'}
HP:0000069	UMLS	C1840382	{'Abnormality of the ureter', 'Abnormality of the ureters', 'Ureteral anomalies', 'Ureter issue'}
HP:0010935	UMLS	C4023641	{'Abnormality of the upper urinary tract'}
HP:0000070	MSH	D014518	Ureterocele
HP:0000070	SNOMEDCT_US	12818004	Ureterocele
HP:0000070	UMLS	C0041960	{'Ureterocele', 'URETEROCELE', 'ureterocele', 'ureteroceles', 'Ureteroceles'}
HP:0000071	SNOMEDCT_US	95574003	Stenosis of ureter
HP:0000071	UMLS	C0521618	{'Stenosis of ureter', 'Ureteral Stenosis', 'Ureteral stenosis', 'Narrowing of the ureter', 'STENOSIS URETERAL'}
HP:0006000	Fyler	4492	None
HP:0006000	MSH	D014517	Ureteral Obstruction
HP:0006000	SNOMEDCT_US	20018005	Occlusion of ureter
HP:0006000	UMLS	C0041956	{'Ureters--Obstructions', 'ureter obstruction', 'Obstructions, Ureteral', 'obstructions ureters', 'Occlusion NOS of ureter', 'Ureteral Obstructions', 'Ureteral Obstruction', 'ureteral obstruction', 'URETER OBSTRUCTION', 'Ureter Obstruction', 'OBSTRUCTION URETER', 'Ureteral obstruction', 'ureteric obstruction', 'URETER, OBSTRUCTION', 'Obstruction, Ureteral', 'obstruction ureter'}
HP:0000072	SNOMEDCT_US	69758005	Hydroureter
HP:0000072	SNOMEDCT_US	95576001	Dilatation of ureter
HP:0000072	UMLS	C0521620	{'DILATATION URETERAL', 'Swelling of ureter', 'hydroureter', 'URETER DILATION', 'Ureteral dilatation', 'dilatation ureters', 'megaureter', 'HYDROURETER', 'Hydroureter', 'Dilatation of ureter', 'megaureters', 'Hydroureters', 'dilatation ureter', 'megaloureter', 'hydroureters', 'Megaureter'}
HP:0000072	UMLS	C4020897	{'Uroureter'}
HP:0000073	SNOMEDCT_US	49496001	Double ureter
HP:0000073	UMLS	C0221365	{'duplication ureter', 'Double Ureter', 'Double ureter', 'Duplex Collecting System', 'double ureters', 'Double ureters', 'Duplicate ureters', 'duplex ureters', 'duplications ureter', 'ureter duplication', 'Ureteral duplication', 'duplex ureter', 'Duplicated ureter', 'DOUBLE URETER', 'duplication of ureter', 'duplication ureters', 'double ureter', 'Duplicate ureter', 'Duplicated ureters', 'Duplicated Ureter'}
HP:0000074	MSH	C537373	None
HP:0000074	SNOMEDCT_US	95575002	Obstruction of pelviureteric junction
